ID,Revision/Version,Scene Type (Private/Public,Region, Name,Have Space,Have Metadata,Notes
SCEE Home Square Version 2 [1183992742_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square Version 2 [2324386971_DAT] {HDK 1.50.0.238.BETA} {1.3.0 S.E}.,,,,,1,1,
SCEE Home Square Version 2 [3789326144_DAT] {HDK 1.52.0.2.PUB} {1.3.0 S.E}.,,,,,1,1,
SCEE Home Square Version 2 [4031453017_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square Version 2 [906616914_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square Version 3 [1415900766_DAT] {HDK 1.60.0.450.BETA} [1.3.0 SE].,,,,,1,1,
SCEE Home Square Version 3 [1775694665_DAT] {HDK 1.75.0.85.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square Version 3 [2076684239_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square Version 3 [3787711016_DAT] {HDK 1.75.0.85.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square Version 3 [4272077117_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square [115797735_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square [2936725131_DAT] {HDK 1.60.0.450.BETA} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square [3158215767_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square [3842939261_DAT] {HDK 1.66.0.144.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square [453801444_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Square [790103841_DAT] {HDK 1.41.0.37.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Home Theatre Cinema [3806656541_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.dat,,,,,1,1,
SCEE Home Theatre Cinema [3806656541_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Marketplace [3276120097_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Original Mall (Marketplace) [3555912113_DAT] {1.1.0}.,,,,,1,1,
SCEE Shopping Mall East [1616223167_DAT] {HDK 1.75.0.85.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Shopping Mall East [1663392283_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Shopping Mall East [1685567124_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Shopping Mall East [1802080197_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Shopping Mall East [2079456025_DAT] {HDK 1.3.6.22.PUB} {1.3.0}.,,,,,1,1,
SCEE Shopping Mall East [211527224_DAT] {HDK 1.41.0.37.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Shopping Mall East [2998744269_DAT] {HDK 1.66.0.144.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Shopping Mall East [3137432183_DAT] {HDK 1.66.0.144.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Shopping Mall East [363289252_DAT] {HDK 1.60.0.450.BETA} {1.3.0 SE}.,,,,,1,1,
SCEE Shopping Mall West [2448154220_DAT] {HDK 1.75.0.85.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Shopping Mall West [2517498177_DAT] {HDK 1.80.0.53.PUB} {1.3.0}.,,,,,1,1,
SCEE Shopping Mall West [574029067_DAT] {HDK 1.41.0.37.PUB} {1.3.0 SE}.,,,,,1,1,
SCEE Tree House Personal Space [1862892282_DAT] {HDK 1.3.0.317.CORE} {1.3.0 SE}.,,,,,1,1,
SCEJ Home Square  ホームスクエア [515087000_DAT] [HDK 1.70.0.93.PUB] {1.3.0 SE}.,,,,,1,1,
SCEJ Home Square ホームスクエア Winter Night Edition [1234744008_DAT] {HDK 1.40.0.265.PUB} {1.3.0 SE}.,,,,,1,1,
SCEJ Home Square ホームスクエア Winter Night Edition [129983385_DAT] {HDK 1.40.0.265.PUB} {1.3.0 SE}.,,,,,1,1,
SCEJ Japan Cinema Auditorium [3992479384_DAT] {HDK 1.52.0.2.PUB} {1.3.0 SE}.,,,,,1,1,
SCEJ Music Cafe ホームカフェ [820506587_DAT] {HDK 1.40.0.265.PUB} {1.3.0 SE}.,,,,,1,1,
SCEJ Original Mall マーケットプレイス [1448880631_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
SCEJ ホームスクエア (Japan Home Square Original) {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
SCEJ ホームスクエア Winter Night Edition {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
SOCOM Opposing Force [340158888_DAT] {HDK 1.3.2.16.BETA1} {1.3.0 SE}.,,,,,1,1,
SOCOM Tactical Operations Center [1636438271_DAT] {HDK 1.3.5.120.PUB} {1.3.0 SE}.,,,,,1,1,
SeaClyff Retreat Personal Space Game Mechanic [1691782632_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
SeaClyff Retreat Personal Space Game Mechanics [171343808_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
Serenity Plaza Mini-Bots Halloween Spooktacular [3175486394_DAT] {HDK 1.80.0.53.PUB} {1.3.0}.,,,,,1,1,
SingStar (DEV) [568018576_DAT] {HDK 1.3.0.130.BETA2} {1.3.0 SE}.BAR,,,,,1,1,
SingStar Christmas Space (Possibly) [3278303053_DAT] {HDK 1.3.0.130.BETA2} {1.3.0 SE}.,,,,,1,1,
SingStar Original [1056718520_DAT] {HDK 1.3.0.130.BETA2} {1.3.0 SE}.,,,,,1,1,
SingStar VIP Lounge (DEV) [1135554912_DAT] [HDK 1.3.0.130.BETA2] {1.3.0 SE}.BAR,,,,,1,1,
SingStar [1126062477_DAT] {1.1.0 SE}.,,,,,1,1,
SingStar [1472782262_DAT] {HDK 1.40.0.264.BETA4} {1.3.0 SE}.,,,,,1,1,
SingStar [3622444929_DAT] {HDK 1.41.0.37.PUB} {1.3.0 S.E}.,,,,,1,1,
SingStar® Store [3852711897_DAT] {HDK 1.40.0.264.BETA4} {1.3.0 SE}.,,,,,1,1,
Siren - Ward of Despair Lounge [2855471741_DAT] {1.1.0 SE}.,,,,,1,1,
Siren Lobby (SCEJ) [1022752561_DAT] {1.1.0}.,,,,,1,1,
Siren Lounge (SCEJ) [4195357533_DAT] {1.1.0 SE}.,,,,,1,1,
Slap Happy Sam's Stage Show [127221625_DAT] {HDK 1.41.0.37.PUB} {1.3.0 SE}.,,,,,1,1,
Sodium 1 Aparment [3464511949_DAT] {HDK 1.3.2.16.BETA1} {1.3.0 SE}.,,,,,1,1,
Sodium 1 Apartment [2151334804_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
Sodium 2 Desert Racer [3761104466_DAT] {HDK 1.50.0.238.BETA} (1).,,,,,1,1,
Sodium 2 Desert Racer [3761104466_DAT] {HDK 1.50.0.238.BETA}.,,,,,1,1,
Sodium 2 Project Velocity [3830448423_DAT] {HDK 1.50.0.238.BETA} {1.3.0 SE}.,,,,,1,1,
Sodium 2 [1615799837_DAT] {HDK 1.60.0.450.BETA} {1.3.0 SE} (1).,,,,,1,1,
Sodium 2 [1615799837_DAT] {HDK 1.60.0.450.BETA} {1.3.0 SE}.,,,,,1,1,
Sodium 2 [3691760509_DAT] {HDK 1.50.0.238.BETA} {1.3.0 SE}.,,,,,1,1,
Sodium Main Hub [2151334804_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
Sodium Main Hub [3051557229_DAT] {HDK 1.52.0.2.PUB} {1.3.0 SE}.,,,,,1,1,
Sodium One Apartment [3603199863_DAT] {HDK 1.3.2.16.BETA1} {1.3.0 SE}.,,,,,1,1,
Sodium Trainer [3713857377_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
Sodium [10476774_DAT} {HDK 1.40.0.264.BETA4} {1.3.0 SE}.,,,,,1,1,
Sodium [149164688_DAT] {HDK 1.40.0.264.BETA} {1.3.0 S.E}.,,,,,1,1,
Sodium [1947749532_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
Sodium [2017093489_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE} (1).,,,,,1,1,
Sodium [2017093489_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
Sodium [3468958548_DAT] {HDK 1.3.2.16.BETA1} {1.3.0 SE}.,,,,,1,1,
Sodium [3815678333_DAT] {HDK 1.3.5.120.PUB} {1.3.0 SE}.,,,,,1,1,
Sodium [79820731_DAT] {HDK 1.40.0.264.BETA4} {1.3.0 SE}.,,,,,1,1,
Southern Island Hideaway Valentine Day 2013 Event (Possibly Japanese) [2523315307_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
Sports Walk District [463953428_DAT] {HDK 1.60.0.450.BETA} {1.3.0 SE}.,,,,,1,1,
Sports Walk District [602641342_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE} (1).,,,,,1,1,
Sports Walk District [602641342_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
SportsWalk SCEA Core Casual [1136001915_DAT] {HDK 1.60.0.450.BETA} {1.3.0 SE}.,,,,,1,1,
Spunland [3063728845_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
Spunland [3133072802_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
Star Wars Cantina [1328829607_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
Summer House Personal Space [3161539921_DAT] {HDK 1.41.0.37.PUB} {1.3.0 SE}.,,,,,1,1,
Summer House [1604528003_DAT] {HDK 1.3.0.317.CORE} {1.3.0 SE}.,,,,,1,1,
Summer House [3681539546_DAT] {1.3.0 SE}.,,,,,1,1,
Sunset Lounge [516031400_DAT] {HDK 1.75.0.85.PUB} {1.3.0 SE}.,,,,,1,1,
Tekken 6 - Mishima Zaibatsu Recreation Floor [2906690873_DAT] {HDK 1.3.2.16.BETA1} {1.3.0}.,,,,,1,1,
Tekken 6 - Mishima Zaibatsu Recreation Floor [3719988523_DAT] [HDK 1.3.0.125.BETA1] {1.3.0 SE}.,,,,,1,1,
Tekken 6 - Mishima Zaibatsu Recreation Floor [3796188318_DAT] {HDK 1.3.0.125.BETA1} {1.3.0}.,,,,,1,1,
The Casino (Bingo Hall Paradise Room) [1955192360_DAT] {HDK 1.80.0.53.PUB} {1.3.0 S.E}.,,,,,1,1,
The Casino Complimentary Hotel Room [2992125334_DAT] {HDK 1.66.0.144.PUB} {1.3.0 SE}.,,,,,1,1,
The Casino Complimentary Hotel Room [638788834_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
The Casino Lounge (SCEA) [1135159195_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
The Casino Lounge (SCEA) [15897521_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
The Casino Lounge (SCEA) [2641328712_DAT] {HDK 1.80.0.53.PUB} {1.3.0 S.E}.,,,,,1,1,
The Casino Lounge (SCEA) [3627802565_DAT] {HDK 1.80.0.53.PUB} {1.3.0 S.E}.,,,,,1,1,
The Casino Lounge (SCEA) [3906096927_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
The Casino Lounge SCEE [1131420113_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
The Casino Lounge SCEE [2022514236_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
The Casino Lounge SCEE [2091858193_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
The Casino Lounge SCEE [992732199_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
The Casino Paradise Springs Poker Lounge [2710672669_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
The Complex [4191932071_DAT] {HDK 1.75.0.85.PUB} {1.3.0 SE}.,,,,,1,1,
The Complex nDreams [4122588114_DAT] {HDK 1.75.0.85.PUB} {1.3.0 SE}.,,,,,1,1,
The Dream Yacht Arctic Voyage [180758764_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
The Ford Showroom [2962508623_DAT] {HDK 1.50.0.238.BETA} {1.3.0 SE}.,,,,,1,1,
The Irish Pub Apartment VEEMEE [1194813851_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
The Midnight Glade [2642880172_DAT] {HDK 1.60.0.450.BETA} {1.3.0 SE}.,,,,,1,1,
The Midway 2 [1535667479_DAT] {HDK 1.65.0.139.BETA} {1.3.0 S.E}.,,,,,1,1,
The Midway 3 [3955976036_DAT] {HDK 1.60.0.450.BETA} {1.3.0 S.E}.,,,,,1,1,
The Midway Darla's Den Personal Space [55663863_DAT] {HDK 1.3.5.121.PUB} {1.3.0 SE}.,,,,,1,1,
The Midway HotZone [1342095725_DAT] {HDK 1.65.0.139.BETA} {1.3.0 SE}.,,,,,1,1,
The Midway Personal Space [2339656406_DAT] {HDK 1.3.5.121.PUB} {1.3.0 SE}.,,,,,1,1,
The Midway [2163015245_DAT] {HDK 1.3.5.121.PUB} {1.3.0 SE}.,,,,,1,1,
The Midway [3126220452_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE} (1).,,,,,,,
The Midway [3126220452_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,,,,1,1,
The Midway [3353767989_DAT] {HDK 1.65.0.139.BET} {1.3.0 SE}.,,,,,1,1,
The Midway [4025319993_DAT] {HDK 1.65.0.139.BETA} {1.3.0 SE}.,,,,,1,1,
The Nightmare Yacht [2927945365_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
The Paradise Springs Casino Lounge [3350426737_DAT] {HDK 1.75.0.85.PUB}.,,,,,1,1,
The Paradise Springs Casino Lounge [3419770694_DAT] {HDK 1.80.0.53.PUB}.,,,,,1,1,
The Playground SCEE [1531272934_DAT] {HDK 1.3.5.121.PUB} {1.3.0 SE}.,,,,,1,1,
The Playground [1531272934_DAT] {HDK 1.3.5.121.PUB} {1.3.0 SE}.,,,,,1,1,
The Prairie Ranch [2079983686_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
The Prairie Saloon ClubHouse Lockwood [2463297032_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
The War Room Clubhouse [1481415553_DAT] {HDK 1.60.0.450.BETA} {1.3.0 S.E}.,,,,,1,1,
The War Room Clubhouse [1689447424_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,,,,1,1,
Theatre Auditorium 2 [1774091835_DAT] {HDK 1.60.0.450.BETA} {1.3.0 SE}.,,,,,1,1,
Theatre Auditorium 5 [1404415420_DAT] {HDK 1.52.0.2.PUB} {1.3.0 SE}.,,,,,1,1,
Theatre [1243026339_DAT] {HDK 1.52.0.2.PUB] {1.3.0 SE}.,,,,,1,1,
Theatre [3434785083_DAT] {HDK 1.50.0.238.BETA} {1.3.0 SE}.,,,,,1,1,
Tropical Escape SCEA Personal Space [1208978907_DAT] {HDK 1.3.2.27.PUB} {1.3.0 SE}.,,,,,1,1,
Tuscan Villa Apartment [3479931715_DAT] {HDK 1.80.0.53.PUB} {1.3.0 SE}.,,,,,1,1,
Tycoon Penthouse [299160918_DAT] {HDK 1.51.0.60.PUB} {1.3.0 SE}.,,,,,1,1,
UFC Octagon [2516694604_DAT] {HDK 1.41.0.37.PUB} {1.3.0 SE}.,,,,,1,1,
Uncharted - Artifact Room [2885609567_DAT] {1.1.0 SE}.,,,,,1,1,
Uncharted - Sully's Bar [2183137126_DAT] {1.1.0 SE}.,,,,,1,1,
Uncharted - Sully's Bar [2740048538_DAT] [1.1.0 SE}.,,,,,1,1,
Uncharted 2 Nepalese Village [1734702859_DAT] {HDK 1.3.0.125.BETA1} {1.3.0 SE}.,,,,,1,1,
Uncharted 2 Nepalese Village [2825783871_DAT] {HDK 1.3.2.16.BETA1} {1.3.0 SE}.,,,,,1,1,
Uncharted 3 Yemen [1276246134_DAT] {HDK 1.50.0.238.BETA} {1.3.0 SE}.,,,,,1,1,
Uncharted Smuggler's Den [1978162574_DAT] {1.3.0 SE}.,,,,,1,1,
Uproar [2229585308_DAT] {HDK 1.65.0.139.BETA} {1.3.0 SE}.,,Public,,,1,1,
Uproar [2368273222_DAT] {HDK 1.70.0.93.PUB} {1.3.0 S.E}.,,Public,,,1,1,
Virtua Tennis 4 Baseline Battle Personal Space (SEGA) [2490953729_DAT] {1.3.0 SE}.,,Private,,,1,1,
War Room [1620103467_DAT] {HDK 1.60.0.450.BETA} {1.3.0 SE}.,,Public,,,1,1,
Warhawk [2845872023_DAT] {1.3.0 SE}.,,Public,,,1,1,
Western Frontier [3568754163_DAT] {HDK 1.82.0.17.PUB} {1.3.0 S.E}.,,Public,,,1,1,
Winter Holiday Hullabaloo 2011 [1302731146_DAT] {HDK 1.55.0.155.BETA2} {1.3.0 SE}.,,Public,,,1,1,
Winter Holiday Hullabaloo 2011 [2108305745_DAT] {HDK 1.70.0.93.PUB} {1.3.0 SE}.,,Public,SCEA,,1,1,
Winter Holiday Hullabaloo 2011 [3383049856_DAT] {HDK 1.55.0.155.BETA2} {1.3.0 SE}.,,Public,SCEA,,1,1,
Winter Vacation Villa [2846195824_DAT] {HDK 1.75.0.85.PUB] {1.3.0 SE}.,,Private,SCEA/SCEE,,1,1,
Winter Wonderland 2009 [230121953_DAT] {HDK 1.40.0.265.PUB} {1.3.0 SE}.,,Public,SCEE,,1,1,
Winter Wonderland 2009 [379264184_DAT] {HDK 1.3.2.16.BETA1} {1.3.0 SE}.,,Public,SCEE,,1,1,
Wipeout [1308316794_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,Public,SCEA/SCEE,,1,1,
Wipeout [1377660751_DAT] {HDK 1.3.6.22.PUB} {1.3.0 SE}.,,Public,SCEA/SCEE,,1,1,
Wizards Den [2969948624_DAT] {HDK 1.3.2.27.PUB} {1.3.0 SE}.,,Private,SCEA/SCEE,,1,1,
XI,,Public,SCEA/SCEE,546865109_DAT,1,1,
Xi AZ1 Hexathlon ,null,Public,SCEA/SCEE,2455718585_DAT,1,1,
Xi Alpha Zone 3 - Expert Maze ,1.40.0.265,Public,SCEA/SCEE,1036563089_DAT,1,1,
Xi AlphaZone 1 Hexathlon,1.40.0.265,Public,SCEA/SCEE,3910764905_DAT,1,1,
Xi AlphaZone 1 ,1.40.0.265,Public,SCEA/SCEE,2163583533_DAT,1,1,
Xi AlphaZone 3 Entrance ,1.40.0.265,Public,SCEA/SCEE,4144053985_DAT,1,1,
Xi AlphaZone 3 GhostMaze ,1.40.0.265,Public,SCEA/SCEE,3817711005_DAT,1,1,
Xi AlphaZone 3 RiddleMaze ,1.40.0.265,Public,SCEA/SCEE,2427137047_DAT,1,1,
Xi Alumni Hub ,1.40.0.265,Public,SCEA/SCEE,2345636277_DAT,1,1,
Xi Alumni Hub ,1.52.0.2,Public,SCEA/SCEE,2484324191_DAT,1,1,
Xi City ,1.70.0.92,Public,SCEA/SCEE,1079681347_DAT,1,1,
Xi City ,1.70.0.93,Public,SCEA/SCEE,1149025304_DAT,1,1,
Xi Maximum Tilt,1.40.0.265,Public,SCEA/SCEE,1185415115_DAT,1,1,
Yeti's VS Hunters,1.55.0.155,Public,SCEA/SCEE,3395764278_DAT,1,1,
Yeti's VS Hunters ,1.55.0.155,Public,SCEA/SCEE,3326420321_DAT,1,1,
nRage,1.60.0.450,Public,SCEA,2977217843_DAT,1,1,
x7 Club ,1.65.0.139,Public,SCEA,2059225307_DAT,1,1,
x7 Entrance & Club ,1.60.0.449,Public,SCEA,1180846167_DAT,1,1,
x7 ,1.60.0.450,Public,SCEA,1111502210_DAT,1,1,
おしゃべりファーム (Oshaberi Farms) ,1.70.0.93,Public,SCEJ,1315385062_DAT,1,1,
おしゃべりファーム (Oshaberi Farms),1.75.0.85,Public,SCEJ,null,1,1,
おしゃべりファーム　ユグドラ市場 (Oshaberi Talking Farm Lobby) ,null,Public,SCEJ,889895461_DAT,1,1,
おしゃべり農園 (Oshaberi Farm Garden),1.70.0.93,Public,SCEJ,119615854_DAT,1,1,
おしゃべり農園 (Oshaberi Farm Garden) ,1.75.0.85,Public,SCEJ,nul;,1,1,
カプコンスカイラウンジ (Capcom Sky Lounge) ,1.40.0.265,Public,SCEJ,null,1,1,
ゲームスペース (SCEJ Bowling Alley ie Game Space) ,1.3.5.121,Public,SCEJ,2367735666_DAT,1,1,Japanese Game Space
ピークヴォックスモンスター (Peakvox Monsters) ,1.80.0.53,Public,SCEJ,null,1,1,
四季彩の部屋 (Peakvox Seasonal Themed Room),null,Public,SCEJ,3914990191_DAT,1,1,
怪物ジャポン 一本釣り (GAW Japanese Monster Fishing) ,1.70.0.93,Public,SCEJ,null,1,1,
照英王国 Shoei Kingdom (JP),1.65.0.139,Public,SCEJ,3378468713_DAT,,,
照英王国 Shoei Kingdom (JP) ,1.60.0.450,Public,SCEJ,47887315_DAT,,,
照英王国 Shoei Kingdom (JP), 1.80.0.53,Public,SCEJ,null,,,
銀玉人情商店街 (IREM Market Japan),1.41.0.37,Public,SCEJ,null,,,